term.id,ecoinventMapping
electricityGridRenewableMix,"electricity, high voltage, renewable energy products, production mix"
electricityGridHydroelectric,"electricity production, hydro, run-of-river"
electricityProducedOnSiteHydroelectric,"electricity production, hydro, run-of-river"
electricityGridHardCoal,"electricity production, hard coal"
electricityProducedOnSiteHardCoal,"electricity production, hard coal"
electricityGridNaturalGas,"electricity production, natural gas, combined cycle power plant"
electricityProducedOnSiteNaturalGas,"electricity production, natural gas, combined cycle power plant"
electricityGridOil,"electricity production, oil"
electricityProducedOnSiteOil,"electricity production, oil"
electricityGridWaste,"electricity, from municipal waste incineration to generic market for electricity, medium voltage"
electricityProducedOnSiteWaste,"electricity, from municipal waste incineration to generic market for electricity, medium voltage"
electricityGridNuclear,"electricity production, nuclear, pressure water reactor"
electricityGridSolarPv,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si"
electricityProducedOnSiteSolarPv,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si"
electricityGridWind,"electricity production, wind, >3MW turbine, onshore"
electricityProducedOnSiteWind,"electricity production, wind, >3MW turbine, onshore"
electricityGridGeothermal,"electricity production, deep geothermal"
electricityProducedOnSiteGeothermal,"electricity production, deep geothermal"
electricityGridBiomass,"electricity production, wood, future"
electricityProducedOnSiteBiomass,"electricity production, wood, future"
euronatureP26B,"market for inorganic phosphorus fertiliser, as P2O5"
lyderisN25S3,urea ammonium nitrate production
patentkali,"market for inorganic potassium fertiliser, as K2O"
lokomotive,"market for inorganic potassium fertiliser, as K2O"
anthracite,"market for inorganic nitrogen fertiliser, as N"
naturalGas,"market for natural gas, liquefied"
naturalGasLiquidsNgl,"market for natural gas, liquefied"
petrol,"market for petrol, low-sulfur"
marineGasOil,"market for diesel, low-sulfur"
marineDieselOil,"market for diesel, low-sulfur"
diesel,"market for diesel, low-sulfur"
diesel1D,"market for diesel, low-sulfur"
diesel2D,"market for diesel, low-sulfur"
diesel4D,"market for diesel, low-sulfur"
en590Diesel,"market for diesel, low-sulfur"
fuelOil,market for heavy fuel oil
lubricant,market for lubricating oil
woodPellets,market for wood pellet
woodFuel,market for wood pellet
otherFuelwoodWoodResiduesAndByProducts,market for wood pellet
bagasse,"market for bagasse, from sugarcane"
inorganicNitrogenFertiliserUnspecifiedKgN,"market for inorganic nitrogen fertiliser, as N"
inorganicPhosphorusFertiliserUnspecifiedKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
inorganicPotassiumFertiliserUnspecifiedKgK2O,"market for inorganic potassium fertiliser, as K2O"
inorganicSulphurFertiliserUnspecifiedKgS,market for sulfur
ammoniumBicarbonateKgN,market for ammonium bicarbonate
ammoniumChlorideKgN,market for ammonium chloride
ammoniumMetaphosphateKgN,"market for inorganic nitrogen fertiliser, as N"
ammoniumMetaphosphateKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
ammoniumNitrateKgN,market for ammonium nitrate
ammoniumNitratePhosphateKgN,"market for inorganic nitrogen fertiliser, as N"
ammoniumNitratePhosphateKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
ammoniumSulphateKgN,market for ammonium sulfate
ammoniumSulphateNitrateKgN,market for ammonium sulfate
ammoniumPolysulphideKgN,market for ammonium sulfate
ammoniumThiosulphateKgN,market for ammonium sulfate
anhydrousAmmoniaKgN,"market for inorganic nitrogen fertiliser, as N"
aqueousAmmoniaKgN,"market for inorganic nitrogen fertiliser, as N"
calciumAmmoniumNitrateKgN,"market for inorganic nitrogen fertiliser, as N"
calciumAmmoniumPhosphateKgN,"market for inorganic nitrogen fertiliser, as N"
calciumAmmoniumPhosphateKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
calciumMetaphosphateKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
ferrousAmmoniumSulphateKgN,market for ammonium sulfate
calciumCyanamideKgN,"market for inorganic nitrogen fertiliser, as N"
calciumNitrateKgN,market for ammonium sulfate
ureaCalciumNitrateKgN,market for urea
sodiumNitrateKgN,market for calcium nitrate
nitricAcidKgN,"market for nitric acid, without water, in 50% solution state"
ureaKgN,market for urea
ureaFormaldehydeKgN,market for urea
ureaAmmoniumNitrateKgN,urea ammonium nitrate production
ureaAmmoniumSulphateKgN,urea ammonium nitrate production
zincManganeseAmmoniumSulphateKgN,market for ammonium sulfate
sulphurCoatedUreaKgN,market for urea
magnesiumNitrateKgN,"market for inorganic nitrogen fertiliser, as N"
zincNitrateKgN,"market for inorganic nitrogen fertiliser, as N"
magnesiumPhosphateKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
nitricPhosphateKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
nitricPhosphateKgN,monoammonium phosphate production
ammoniumPolyphosphateKgN,monoammonium phosphate production
ammoniumPolyphosphateKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
ammoniumPhosphateSulphateKgN,monoammonium phosphate production
ammoniumPhosphateSulphateKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
colloidalPhosphateKgP2O5,"market for inorganic phosphorus fertiliser, as P2O5"
triammoniumPhosphateKgP2O5,diammonium phosphate production
triammoniumPhosphateKgN,"market for inorganic nitrogen fertiliser, as N"
diammoniumPhosphateKgP2O5,diammonium phosphate production
diammoniumPhosphateKgN,diammonium phosphate production
